   TIME     MODE     Q              P     KINETIC      POTENTIAL          TOTAL
    0.0000  L 1      1.007997  0.052824   0.00159      -56.52247      -56.52087
    0.2500  L 1      1.021537  0.055496   0.00165      -56.52253      -56.52088
    0.5000  L 1      1.035756  0.058319   0.00183      -56.52270      -56.52087
    0.7500  L 1      1.050670  0.060920   0.00209      -56.52297      -56.52087
    1.0000  L 1      1.066215  0.063414   0.00241      -56.52329      -56.52087
    1.2500  L 1      1.082355  0.065658   0.00275      -56.52362      -56.52087
    1.5000  L 1      1.099017  0.067587   0.00306      -56.52393      -56.52087
    1.7500  L 1      1.116116  0.069151   0.00331      -56.52418      -56.52087
    2.0000  L 1      1.133556  0.070309   0.00348      -56.52435      -56.52087
    2.2500  L 1      1.151233  0.071041   0.00354      -56.52442      -56.52087
    2.5000  L 1      1.169038  0.071341   0.00351      -56.52438      -56.52087
    2.7500  L 1      1.186865  0.071218   0.00338      -56.52425      -56.52087
    3.0000  L 1      1.204611  0.070693   0.00318      -56.52406      -56.52087
    3.2500  L 1      1.222179  0.069801   0.00294      -56.52382      -56.52087
    3.5000  L 1      1.239483  0.068583   0.00269      -56.52357      -56.52087
    3.7500  L 1      1.256447  0.067090   0.00246      -56.52334      -56.52087
    4.0000  L 1      1.273009  0.065381   0.00228      -56.52316      -56.52087
    4.2500  L 1      1.289124  0.063518   0.00218      -56.52305      -56.52087
    4.5000  L 1      1.304761  0.061568   0.00216      -56.52303      -56.52087
    4.7500  L 1      1.319906  0.059602   0.00225      -56.52312      -56.52087
    5.0000  L 1      1.334566  0.057692   0.00244      -56.52331      -56.52087
    5.2500  L 1      1.348764  0.055916   0.00272      -56.52359      -56.52087
    5.5000  L 1      1.362541  0.054348   0.00307      -56.52394      -56.52087
    5.7500  L 1      1.375961  0.053066   0.00348      -56.52435      -56.52087
    6.0000  L 1      1.389104  0.052146   0.00391      -56.52478      -56.52087
    6.2500  L 1      1.402070  0.051661   0.00433      -56.52520      -56.52087
    6.5000  L 1      1.414976  0.051682   0.00471      -56.52559      -56.52087
    6.7500  L 1      1.427957  0.052271   0.00504      -56.52591      -56.52087
    7.0000  L 1      1.441162  0.053481   0.00528      -56.52615      -56.52087
    7.2500  L 1      1.454751  0.055352   0.00543      -56.52630      -56.52087
    7.5000  L 1      1.468893  0.057909   0.00549      -56.52636      -56.52087
    7.7500  L 1      1.483761  0.061153   0.00548      -56.52635      -56.52087
    8.0000  L 1      1.499523  0.065065   0.00542      -56.52629      -56.52087
    8.2500  L 1      1.516342  0.069599   0.00534      -56.52621      -56.52087
    8.5000  L 1      1.534366  0.074682   0.00528      -56.52615      -56.52087
    8.7500  L 1      1.553718  0.080214   0.00528      -56.52615      -56.52087
    9.0000  L 1      1.574498  0.086074   0.00536      -56.52623      -56.52087
    9.2500  L 1      1.596770  0.092119   0.00554      -56.52642      -56.52087
    9.5000  L 1      1.620560  0.098194   0.00584      -56.52671      -56.52087
    9.7500  L 1      1.645856  0.104139   0.00623      -56.52710      -56.52087
   10.0000  L 1      1.672606  0.109795   0.00669      -56.52756      -56.52087
   10.2500  L 1      1.700718  0.115008   0.00720      -56.52807      -56.52087
   10.5000  L 1      1.730063  0.119641   0.00771      -56.52858      -56.52087
   10.7500  L 1      1.760480  0.123575   0.00818      -56.52905      -56.52087
   11.0000  L 1      1.791784  0.126714   0.00858      -56.52946      -56.52087
   11.2500  L 1      1.823765  0.128986   0.00889      -56.52976      -56.52087
   11.5000  L 1      1.856200  0.130346   0.00908      -56.52995      -56.52087
   11.7500  L 1      1.888859  0.130772   0.00916      -56.53003      -56.52087
   12.0000  L 1      1.921507  0.130265   0.00912      -56.52999      -56.52087
   12.2500  L 1      1.953915  0.128847   0.00898      -56.52986      -56.52087
   12.5000  L 1      1.985858  0.126557   0.00878      -56.52965      -56.52087
   12.7500  L 1      2.017124  0.123447   0.00852      -56.52939      -56.52087
   13.0000  L 1      2.047518  0.119583   0.00824      -56.52911      -56.52087
   13.2500  L 1      2.076859  0.115040   0.00797      -56.52884      -56.52087
   13.5000  L 1      2.104988  0.109899   0.00772      -56.52859      -56.52087
   13.7500  L 1      2.131766  0.104251   0.00751      -56.52838      -56.52087
   14.0000  L 1      2.157078  0.098188   0.00736      -56.52823      -56.52087
   14.2500  L 1      2.180833  0.091808   0.00726      -56.52814      -56.52087
   14.5000  L 1      2.202964  0.085212   0.00722      -56.52810      -56.52087
   14.7500  L 1      2.223430  0.078504   0.00723      -56.52810      -56.52087
   15.0000  L 1      2.242216  0.071790   0.00726      -56.52813      -56.52087
   15.2500  L 1      2.259333  0.065177   0.00730      -56.52817      -56.52087
   15.5000  L 1      2.274821  0.058771   0.00732      -56.52819      -56.52087
   15.7500  L 1      2.288744  0.052676   0.00729      -56.52817      -56.52087
   16.0000  L 1      2.301193  0.046992   0.00720      -56.52808      -56.52087
   16.2500  L 1      2.312281  0.041812   0.00703      -56.52790      -56.52087
   16.5000  L 1      2.322147  0.037217   0.00675      -56.52762      -56.52087
   16.7500  L 1      2.330943  0.033275   0.00635      -56.52723      -56.52087
   17.0000  L 1      2.338842  0.030034   0.00585      -56.52672      -56.52087
   17.2500  L 1      2.346020  0.027521   0.00525      -56.52612      -56.52087
   17.5000  L 1      2.352661  0.025735   0.00457      -56.52544      -56.52087
   17.7500  L 1      2.358944  0.024648   0.00384      -56.52471      -56.52087
   18.0000  L 1      2.365036  0.024201   0.00310      -56.52398      -56.52087
   18.2500  L 1      2.371088  0.024304   0.00239      -56.52327      -56.52087
   18.5000  L 1      2.377222  0.024841   0.00175      -56.52263      -56.52087
   18.7500  L 1      2.383531  0.025669   0.00122      -56.52209      -56.52087
   19.0000  L 1      2.390066  0.026630   0.00081      -56.52169      -56.52087
   19.2500  L 1      2.396841  0.027553   0.00055      -56.52142      -56.52087
   19.5000  L 1      2.403825  0.028267   0.00044      -56.52131      -56.52087
   19.7500  L 1      2.410944  0.028608   0.00046      -56.52134      -56.52087
